n_estimators,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,file_acc,per_fold
800,1,sqrt,12.0,gini,balanced,True,0.8750000000000001,"[0.8333333333333334, 0.8333333333333334, 1.0, 0.8333333333333334]"
2000,2,log2,24.0,gini,,True,0.8750000000000001,"[0.8333333333333334, 0.8333333333333334, 1.0, 0.8333333333333334]"
600,3,0.3,12.0,gini,balanced,True,0.8750000000000001,"[0.8333333333333334, 0.8333333333333334, 1.0, 0.8333333333333334]"
200,1,0.3,24.0,gini,balanced,True,0.875,"[0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666]"
400,2,sqrt,,entropy,balanced,True,0.8541666666666667,"[0.8333333333333334, 0.8333333333333334, 1.0, 0.75]"
600,2,log2,24.0,entropy,balanced_subsample,True,0.8541666666666667,"[0.75, 0.8333333333333334, 1.0, 0.8333333333333334]"
400,1,log2,24.0,entropy,balanced,True,0.8541666666666667,"[0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.8333333333333334]"
800,2,sqrt,6.0,entropy,balanced,True,0.8541666666666667,"[0.75, 0.8333333333333334, 1.0, 0.8333333333333334]"
800,1,0.3,16.0,entropy,balanced,True,0.8333333333333334,"[0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.75]"
200,2,log2,8.0,gini,balanced,True,0.8333333333333334,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]"
2000,1,0.5,24.0,gini,,True,0.8333333333333334,"[0.75, 0.75, 1.0, 0.8333333333333334]"
2000,2,0.5,16.0,gini,,True,0.8333333333333334,"[0.75, 0.75, 1.0, 0.8333333333333334]"
2000,3,sqrt,8.0,entropy,balanced,True,0.8333333333333334,"[0.75, 0.8333333333333334, 0.9166666666666666, 0.8333333333333334]"
200,1,log2,6.0,entropy,,False,0.8333333333333334,"[0.8333333333333334, 0.75, 0.9166666666666666, 0.8333333333333334]"
800,2,0.7,12.0,gini,,True,0.8333333333333333,"[0.6666666666666666, 0.75, 1.0, 0.9166666666666666]"
2000,1,0.3,,entropy,balanced_subsample,True,0.8125,"[0.8333333333333334, 0.75, 0.9166666666666666, 0.75]"
200,3,sqrt,,gini,balanced_subsample,True,0.8125,"[0.75, 0.8333333333333334, 0.9166666666666666, 0.75]"
2000,5,1.0,,gini,balanced,True,0.8124999999999999,"[0.6666666666666666, 0.75, 0.9166666666666666, 0.9166666666666666]"
800,2,1.0,16.0,gini,,True,0.7916666666666667,"[0.5833333333333334, 0.75, 1.0, 0.8333333333333334]"
800,2,sqrt,,gini,balanced,False,0.7916666666666667,"[0.8333333333333334, 0.75, 0.8333333333333334, 0.75]"
800,2,sqrt,16.0,gini,balanced_subsample,False,0.7916666666666667,"[0.8333333333333334, 0.75, 0.8333333333333334, 0.75]"
400,5,0.7,,entropy,balanced,False,0.7916666666666667,"[0.75, 0.75, 0.8333333333333334, 0.8333333333333334]"
2000,1,0.3,8.0,entropy,balanced_subsample,False,0.7708333333333334,"[0.75, 0.75, 0.8333333333333334, 0.75]"
200,5,0.7,16.0,gini,,False,0.7708333333333334,"[0.5833333333333334, 0.75, 0.8333333333333334, 0.9166666666666666]"
2000,1,0.7,8.0,entropy,balanced_subsample,False,0.7708333333333334,"[0.6666666666666666, 0.75, 0.8333333333333334, 0.8333333333333334]"
400,2,0.7,24.0,entropy,balanced_subsample,False,0.7708333333333334,"[0.75, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334]"
2000,1,0.7,,entropy,balanced,False,0.7708333333333334,"[0.6666666666666666, 0.75, 0.8333333333333334, 0.8333333333333334]"
2000,5,0.7,24.0,entropy,balanced,False,0.7708333333333334,"[0.6666666666666666, 0.75, 0.8333333333333334, 0.8333333333333334]"
1200,3,0.7,12.0,gini,balanced,False,0.7500000000000001,"[0.5833333333333334, 0.75, 0.8333333333333334, 0.8333333333333334]"
800,3,0.7,16.0,gini,balanced,False,0.7500000000000001,"[0.5833333333333334, 0.75, 0.8333333333333334, 0.8333333333333334]"
200,1,1.0,16.0,entropy,balanced_subsample,False,0.75,"[0.5833333333333334, 0.75, 0.9166666666666666, 0.75]"
2000,2,0.5,12.0,entropy,balanced,False,0.75,"[0.75, 0.6666666666666666, 0.8333333333333334, 0.75]"
200,1,1.0,16.0,entropy,,False,0.75,"[0.5833333333333334, 0.75, 0.9166666666666666, 0.75]"
200,1,0.7,16.0,entropy,balanced,True,0.7291666666666666,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.75]"
2000,2,0.7,12.0,entropy,balanced_subsample,True,0.7291666666666666,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.75]"
600,5,1.0,,entropy,balanced,True,0.7291666666666666,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.75]"
800,1,0.7,12.0,entropy,balanced_subsample,True,0.7291666666666666,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.75]"
400,2,1.0,8.0,entropy,balanced_subsample,True,0.7291666666666666,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.75]"
200,3,1.0,24.0,gini,,False,0.7083333333333334,"[0.5833333333333334, 0.6666666666666666, 0.75, 0.8333333333333334]"
1200,3,1.0,24.0,gini,balanced,False,0.7083333333333334,"[0.5833333333333334, 0.6666666666666666, 0.75, 0.8333333333333334]"
